market,company,report,filer,date,rcp
유,HD현대중공업,주식등의대량보유상황보고서(약식),국민연금공단,2026.09.08,20260908000302
코,한탑,주식등의대량보유상황보고서(일반),류원기,2026.09.08,20260908000289
코,포커스에이아이,주식등의대량보유상황보고서(약식),넥스플랜,2026.09.08,20260908000285
코,현대바이오,주식등의대량보유상황보고서(일반),씨앤팜,2026.09.08,20260908000279
코,KX하이텍,주식등의대량보유상황보고서(약식),인터레이스자산운용,2026.09.08,20260908000267
코,한주에이알티,주식등의대량보유상황보고서(약식),신승욱,2026.09.08,20260908000253
코,지엔코,주식등의대량보유상황보고서(일반),크레오에스지,2026.09.08,20260908000249
유,케이씨씨 IR,주식등의대량보유상황보고서(일반),정몽진,2026.09.08,20260908000207
코,에스제이그룹,주식등의대량보유상황보고서(일반),이주영,2026.09.08,20260908000185
코,DH오토리드,주식등의대량보유상황보고서(약식),에이치자산운용,2026.09.08,20260908000176
유,아시아나항공,주식등의대량보유상황보고서(일반),금호건설,2026.09.08,20260908000174
유,호텔신라,주식등의대량보유상황보고서(약식),한국투자신탁운용,2026.09.08,20260908000167
코,글로벌텍스프리,주식등의대량보유상황보고서(약식),MiriCapitalManagementLLC,2026.09.08,20260908000146
코,고영,주식등의대량보유상황보고서(약식),J.P.MORGANSECURITIESPLC,2026.09.08,20260908000138
코,에코프로비엠,주식등의대량보유상황보고서(일반),에코프로,2026.09.08,20260908000125
코,에코프로 IR,주식등의대량보유상황보고서(일반),이동채,2026.09.08,20260908000124
코,수성웹툰,주식등의대량보유상황보고서(일반),투믹스홀딩스,2026.09.08,20260908000112
코,유니셈,주식등의대량보유상황보고서(약식),FILLIMITED,2026.09.08,20260908000092
코,삼보산업,주식등의대량보유상황보고서(일반),이태용,2026.09.08,20260908000091
코,에스에이티,주식등의대량보유상황보고서(일반),에프넷,2026.09.08,20260908000087
코,한양이엔지,주식등의대량보유상황보고서(약식),FILLIMITED,2026.09.08,20260908000083
코,씨앤투스,주식등의대량보유상황보고서(일반),하춘욱,2026.09.08,20260908000076
코,아나패스,주식등의대량보유상황보고서(약식),아이베스트투자,2026.09.08,20260908000050
코,씨앤지하이테크,주식등의대량보유상황보고서(일반),홍사문,2026.09.08,20260908000038
코,넥사다이내믹스,주식등의대량보유상황보고서(약식),세종메디칼,2026.09.07,20260907000330
코,넥사다이내믹스,주식등의대량보유상황보고서(약식),세종메디칼,2026.09.07,20260907000326
코,모아데이타,주식등의대량보유상황보고서(일반),한상진,2026.09.07,20260907000321
코,아이엠티,주식등의대량보유상황보고서(약식),씨스퀘어자산운용,2026.09.07,20260907000317
코,서진시스템,주식등의대량보유상황보고서(일반),전동규,2026.09.07,20260907000312
코,서울평가정보,주식등의대량보유상황보고서(일반),진원홀딩스컴퍼니,2026.09.07,20260907000309
유,코오롱인더,주식등의대량보유상황보고서(일반),코오롱,2026.09.07,20260907000307
유,코오롱,주식등의대량보유상황보고서(일반),이웅열,2026.09.07,20260907000303
유,세아홀딩스,주식등의대량보유상황보고서(일반),이태성,2026.09.07,20260907000298
유,우성머티리얼스,주식등의대량보유상황보고서(일반),더블유에스,2026.09.07,20260907000285
유,AK홀딩스,주식등의대량보유상황보고서(일반),채형석,2026.09.07,20260907000283
코,디어유,주식등의대량보유상황보고서(일반),안종오,2026.09.07,20260907000282
유,우신시스템,주식등의대량보유상황보고서(일반),허우영,2026.09.07,20260907000271
코,바텍 IR,[기재정정] 주식등의대량보유상황보고서(약식),SwedbankRoburFonderAB,2026.09.07,20260907000270
코,메가스터디교육,주식등의대량보유상황보고서(일반),손주은,2026.09.07,20260907000264
유,케이카 IR,주식등의대량보유상황보고서(일반),케이모빌리티밸류업,2026.09.07,20260907000253
유,디아이,주식등의대량보유상황보고서(일반),박원호,2026.09.07,20260907000243
코,덴티스,주식등의대량보유상황보고서(일반),심기봉,2026.09.07,20260907000241
코,디젠스,주식등의대량보유상황보고서(일반),디에이치코리아,2026.09.07,20260907000239
유,케이카 IR,주식등의대량보유상황보고서(일반),KG스틸,2026.09.07,20260907000231
코,시지트로닉스,주식등의대량보유상황보고서(일반),심규환,2026.09.07,20260907000229
코,엔투텍,주식등의대량보유상황보고서(일반),몬타나 신기술조합 제72호,2026.09.07,20260907000225
코,APS이노베이션,주식등의대량보유상황보고서(일반),APS,2026.09.07,20260907000221
코,테크윙,주식등의대량보유상황보고서(약식),ManulifeInvestmentManagement(HongKong)Limited,2026.09.07,20260907000214
코,비츠로셀,주식등의대량보유상황보고서(약식),MORGANSTANLEY&COINTLPLC,2026.09.07,20260907000206
유,포스코DX,주식등의대량보유상황보고서(일반),POSCO홀딩스,2026.09.07,20260907000194
코,하이젠알앤엠,주식등의대량보유상황보고서(약식),미래에셋자산운용,2026.09.07,20260907000192
